stop_name,route_id
1st avenue eastleigh,1
1st avenue eastleigh,14
1st avenue eastleigh,28
1st avenue eastleigh,41
1st avenue eastleigh,48
1st avenue eastleigh,5
1st avenue eastleigh,56
1st avenue eastleigh,59A
1st avenue eastleigh,65
1st avenue eastleigh,9
3rd parklands avenue,50
3rd parklands avenue,52
6th parklands avenue,50
a104,16
a104,17
a104,67
a104,83
abc,22
abc,30
abc,37
abc,38
abc,6
abc,76A
abc,8
adams arcade,1
adams arcade,14
adams arcade,20
adams arcade,23
adams arcade,24
adams arcade,31
adams arcade,32
adams arcade,42
adams arcade,42
adams arcade,66
adams arcade,71
agip,23
agip,25
agip,31
agip,37
agip,38
agip,69
agip,70
agip,72
ahero road,31
airport north road,19
airport north road,19A
airport north road,27
airport north road,27A
airport north road,37
airport north road,38
airport south road,7
alsops,10
alsops,19
alsops,21
alsops,24
alsops,25
alsops,35
alsops,40
alsops,41
alsops,6
alsops,62
alsops,68
alsops,75
alsops,78
alsops,79
alsops,8
alsops,80
alsops,82
ambassadeur,1
ambassadeur,11
ambassadeur,12
ambassadeur,24
ambassadeur,27
ambassadeur,66
ambassadeur,71
ambassadeur,83
ambassdeaur,32
ambira road,31
argwings kodhek road,11
argwings kodhek road,12
athusi,25
athusi,42
baba dogo road,21
baba dogo road,24
baba dogo road,25
banana hill,85
bellevue,29
benedicta,37
benedicta,38
bogani road,64
bomas,25
bomas,26
bomas,64
bomas,72
bunyala road,17
bunyala road,2A
bunyala road,30A
bunyala road,36A
bunyala road,57
bunyala road,63
bunyala road,63A
buruburu,31
buruburu,47
bururburu,2
bururburu,2A
bururburu,53
c65,87
cabanas,18
cabanas,18A
cabanas,19
cabanas,19A
cabanas,29
cabanas,37
cabanas,38
cabanas,69
cabanas,7
cabanas,70
cabanas,89C
cabral street kenyatta avenue,10
cabral street kenyatta avenue,21
cabral street kenyatta avenue,34
cabral street kenyatta avenue,35
cabral street kenyatta avenue,4
cabral street kenyatta avenue,45
cabral street kenyatta avenue,5
chalbi dvr,43
chalbi dvr,45
chiromo,22
chiromo,37
chiromo,38
chiromo,43
chiromo,45
chiromo,6
chiromo,8
city hall way,13
city hall way,14
city hall way,20
city hall way,29
city hall way,3
city hall way,33A
city hall way,49
city hall way,9
city stadium,12
city stadium,13
city stadium,2
city stadium,20
city stadium,23
city stadium,27
city stadium,27A
city stadium,28
city stadium,30
city stadium,33
city stadium,36
city stadium,43
city stadium,44
city stadium,47
city stadium,48
city stadium,49
city stadium,49A
city stadium,50
city stadium,51
city stadium,53
city stadium,58
city stadium,7
city stadium,86
city stadium,89
city stadium,89B
colleges,64
commercial,4
commercial,5
commercial,50
commercial,52
commercial,63
commercial,63A
community,1
community,10
community,2
community,20
community,24
community,27
community,29
community,3
community,32
community,33A
community,34
community,35
community,36
community,42
community,48
community,51
community,53
community,56
community,58
community,66
community,71
dagoretti road,64
deep sea,47
deep sea,50
deep sea,52
deep sea,63
deep sea,63A
dennis pritt road,88
digo road,31
digo road,56
digo road,59
digo road,78
digo road,79
digo road,80
donholm,12
donholm,13
donholm,20
donholm,27
donholm,27A
donholm,30
donholm,33
donholm,36
donholm,36A
donholm,44
donholm,49
donholm,49A
donholm,50
donholm,51
donholm,58
donholm,7
dt dobie,89
dt dobie,89B
dunga road,17
dunga road,57
dunga road,63
dunga road,63A
eastern by pass,19A
eastern by pass,37
eastern by pass,38
elgon road,13
elgon road,16
elgon road,2A
elgon road,3
elgon road,30A
elgon road,34
elgon road,35
elgon road,36A
embakasi road,27
embakasi road,27A
enterprise road,2A
enterprise road,30A
enterprise road,36A
